gen, ranking_float_twopoint_best, ranking_float_twopoint_ave
 443,   0.6273, 0.564373
 444,   0.6273, 0.562154
 445,   0.6273, 0.567618
 446,   0.6273, 0.563392
 447,   0.6273, 0.558079
 448,   0.6273, 0.558806
 449,   0.6273, 0.563863
 450,   0.6282, 0.564615
 451,   0.6282, 0.565015
 452,   0.6283, 0.560764
 453,   0.6283, 0.562116
 454,   0.6283, 0.565813
 455,   0.6283, 0.563267
 456,   0.6283, 0.562181
 457,   0.6283, 0.559029
 458,   0.6283, 0.564071
 459,   0.6283, 0.565935
 460,   0.6283, 0.561295
 461,   0.6283, 0.554414
 462,   0.6287, 0.561793
 463,   0.6287, 0.563336
 464,   0.6287, 0.568693
 465,   0.6287, 0.565904
 466,   0.6287, 0.567418
 467,   0.6287, 0.567689
 468,   0.6287, 0.567304
 469,   0.6287, 0.562931
 470,   0.6287, 0.565975
 471,   0.6287, 0.564094
 472,   0.6287, 0.567491
 473,   0.6287, 0.570582
 474,   0.6287, 0.563591
 475,   0.6287, 0.563879
 476,   0.6287, 0.567536
 477,   0.6291, 0.566298
 478,   0.6291, 0.565299
 479,   0.6291, 0.569361
 480,   0.6291, 0.571692
 481,   0.6291, 0.564278
 482,   0.6291, 0.568024
 483,   0.6291, 0.567919
 484,   0.6291,  0.56992
 485,   0.6291, 0.566763
 486,   0.6291, 0.564753
 487,   0.6291, 0.561307
 488,   0.6291, 0.564403
 489,   0.6291, 0.567566
 490,   0.6291, 0.568022
 491,   0.6291, 0.564314
 492,   0.6291,  0.56449
 493,   0.6291, 0.562728
 494,   0.6291, 0.564023
 495,   0.6291, 0.570041
 496,   0.6291, 0.566403
 497,   0.6291, 0.564595
 498,   0.6291, 0.565652
 499,   0.6291, 0.563187
 500,   0.6291, 0.570872
 501,   0.6291, 0.566425
 502,   0.6291, 0.569852
 503,   0.6291, 0.567195
 504,   0.6291, 0.570823
 505,   0.6291, 0.570312
 506,   0.6291, 0.564479
 507,   0.6291, 0.560409
 508,   0.6295, 0.564403
 509,   0.6295, 0.562004
 510,   0.6295, 0.565803
 511,   0.6295, 0.565773
 512,     0.63, 0.567837
 513,     0.63, 0.565843
 514,     0.63, 0.573646
 515,     0.63, 0.570551
 516,     0.63, 0.562613
 517,     0.63, 0.566462
 518,     0.63, 0.565977
 519,     0.63,  0.56677
 520,     0.63, 0.568231
 521,     0.63, 0.569025
 522,     0.63, 0.562717
 523,     0.63, 0.567238
 524,     0.63, 0.565005
 525,     0.63, 0.566877
 526,     0.63, 0.570203
 527,     0.63, 0.566571
 528,     0.63, 0.569248
 529,     0.63, 0.564275
 530,     0.63, 0.562752
 531,     0.63, 0.571438
 532,     0.63, 0.564982
 533,     0.63, 0.559511
 534,     0.63, 0.556771
 535,     0.63,  0.56541
 536,     0.63, 0.566206
 537,     0.63, 0.563899
 538,     0.63, 0.566436
 539,     0.63, 0.561028
 540,     0.63, 0.567037
 541,     0.63, 0.562477
 542,     0.63, 0.562072
 543,     0.63, 0.565647
 544,     0.63, 0.567837
 545,     0.63, 0.568829
