gen, roulette_ternary_twopoint_best, roulette_ternary_twopoint_ave
 880,   0.6859, 0.494615
 881,   0.6859,  0.49289
 882,   0.6859,  0.49665
 883,   0.6859, 0.484632
 884,   0.6859, 0.475817
 885,   0.6859, 0.475431
 886,   0.6859,  0.46537
 887,   0.6859, 0.469768
 888,   0.6859, 0.473138
 889,   0.6859, 0.470229
 890,   0.6859, 0.477225
 891,   0.6859, 0.476366
 892,   0.6859, 0.482496
 893,   0.6864, 0.473926
 894,   0.6864, 0.472573
 895,   0.6864, 0.471228
 896,   0.6864, 0.475197
 897,   0.6864, 0.474474
 898,   0.6864, 0.471236
 899,   0.6864, 0.474494
 900,   0.6864, 0.475443
 901,   0.6864, 0.482432
 902,   0.6864,  0.48402
 903,   0.6864, 0.478119
 904,   0.6864, 0.481735
 905,   0.6864, 0.482214
 906,   0.6864, 0.483199
 907,   0.6864, 0.469158
 908,   0.6864, 0.476875
 909,   0.6864,  0.47408
 910,   0.6864, 0.478509
 911,   0.6864, 0.470068
 912,   0.6864, 0.465672
 913,   0.6864, 0.468621
 914,   0.6864, 0.471895
 915,   0.6864,  0.47899
 916,   0.6864, 0.478189
 917,   0.6864, 0.481429
 918,   0.6864,  0.48229
 919,   0.6864, 0.479299
 920,   0.6864, 0.471149
 921,   0.6864, 0.481792
 922,   0.6864, 0.486163
 923,   0.6864, 0.482074
 924,   0.6864, 0.470424
 925,   0.6864,  0.47108
 926,   0.6864, 0.463384
 927,   0.6864,  0.46474
 928,   0.6864, 0.471421
 929,   0.6864,  0.47907
 930,   0.6864, 0.483503
 931,   0.6864, 0.484685
 932,   0.6864, 0.478995
