gen, roulette_ternary_uniform_best, roulette_ternary_uniform_ave
 688,   0.6638, 0.468292
 689,   0.6638,  0.47225
 690,   0.6638, 0.469248
 691,   0.6638, 0.472265
 692,   0.6638, 0.465788
 693,   0.6638, 0.466273
 694,   0.6638,  0.46571
 695,   0.6638, 0.461483
 696,   0.6638, 0.461885
 697,   0.6638, 0.462725
 698,   0.6638, 0.461694
 699,   0.6638, 0.464848
 700,   0.6638, 0.463043
 701,   0.6638, 0.468026
 702,   0.6638, 0.465529
 703,   0.6638, 0.470269
 704,   0.6638, 0.468704
 705,   0.6638, 0.471664
 706,   0.6638,  0.47323
 707,   0.6638, 0.468606
 708,   0.6638, 0.467293
 709,   0.6638, 0.463527
 710,   0.6638, 0.462335
 711,   0.6638, 0.460921
 712,   0.6638, 0.459489
 713,   0.6638, 0.464377
 714,   0.6648, 0.467331
 715,   0.6648, 0.464702
 716,   0.6648, 0.459128
 717,   0.6648, 0.457929
 718,   0.6648, 0.467001
 719,   0.6648, 0.465443
 720,   0.6648, 0.460896
 721,   0.6648, 0.462496
 722,   0.6648, 0.462617
 723,   0.6648, 0.460412
 724,   0.6648, 0.464865
 725,   0.6648, 0.464475
 726,   0.6648, 0.464308
 727,   0.6648, 0.466905
 728,   0.6648, 0.465401
 729,   0.6694, 0.462183
 730,   0.6694,   0.4632
 731,   0.6694, 0.463547
 732,   0.6694, 0.467649
 733,   0.6694, 0.462131
 734,   0.6694, 0.466352
 735,   0.6694, 0.466567
 736,   0.6694, 0.475983
 737,   0.6694, 0.476499
 738,   0.6694, 0.483801
 739,   0.6694, 0.478951
 740,   0.6694, 0.478289
 741,   0.6694, 0.479228
 742,   0.6694, 0.477433
 743,   0.6694, 0.474154
 744,   0.6694, 0.476612
 745,   0.6694, 0.475357
 746,   0.6694, 0.472319
 747,   0.6694, 0.477517
 748,   0.6694, 0.477868
 749,   0.6694, 0.483584
 750,   0.6694, 0.480674
 751,   0.6694, 0.479896
 752,   0.6694, 0.482102
 753,   0.6694, 0.482931
 754,   0.6694, 0.480406
 755,   0.6694, 0.483292
 756,   0.6694, 0.481805
 757,   0.6694, 0.478646
 758,   0.6694, 0.473986
 759,   0.6694, 0.472401
 760,   0.6694, 0.467328
 761,   0.6694, 0.468406
 762,   0.6694, 0.475726
 763,   0.6694, 0.476855
 764,   0.6694, 0.473808
 765,   0.6694, 0.474957
 766,   0.6694, 0.471869
 767,   0.6694, 0.476709
 768,   0.6694, 0.474326
 769,   0.6694,  0.47462
 770,   0.6694, 0.475923
 771,   0.6694, 0.468778
 772,   0.6694, 0.469624
 773,   0.6694, 0.469823
 774,   0.6694, 0.468132
 775,   0.6694, 0.461861
 776,   0.6694, 0.460925
 777,   0.6694, 0.464341
 778,   0.6694, 0.467753
 779,   0.6694, 0.470957
 780,   0.6694, 0.469494
 781,   0.6746, 0.466478
 782,   0.6746, 0.471303
 783,   0.6746, 0.467369
 784,   0.6746, 0.471246
 785,   0.6746, 0.467519
 786,   0.6746, 0.466983
 787,   0.6746, 0.471029
 788,   0.6746, 0.471495
 789,   0.6746, 0.474686
 790,   0.6746, 0.465985
 791,   0.6746, 0.469986
 792,   0.6746, 0.466672
 793,   0.6746, 0.476181
 794,   0.6746,  0.47576
 795,   0.6746, 0.482258
 796,   0.6746, 0.481084
 797,   0.6746, 0.483371
 798,   0.6746, 0.478455
 799,   0.6746, 0.476531
 800,   0.6746, 0.474019
 801,   0.6746,   0.4723
 802,   0.6746, 0.471897
 803,   0.6746, 0.473107
 804,   0.6746, 0.469616
 805,   0.6746,  0.46499
 806,   0.6746, 0.472051
 807,   0.6746, 0.470125
 808,   0.6746, 0.467379
 809,   0.6746, 0.465002
 810,   0.6746, 0.465876
 811,   0.6746, 0.470383
 812,   0.6746, 0.476906
 813,   0.6746,  0.46973
 814,   0.6746, 0.476396
 815,   0.6746,  0.47792
 816,   0.6746, 0.479198
 817,   0.6746, 0.479718
 818,   0.6746, 0.470646
 819,   0.6746, 0.469029
 820,   0.6746, 0.472737
 821,   0.6746, 0.463798
 822,   0.6746, 0.469454
 823,    0.675, 0.475428
 824,    0.675, 0.473045
 825,    0.675, 0.466633
 826,    0.675, 0.468435
 827,    0.675, 0.468568
 828,    0.675, 0.473266
 829,    0.675, 0.476315
 830,    0.675, 0.469361
 831,    0.675,  0.47462
 832,    0.675, 0.483573
 833,    0.675, 0.481247
 834,    0.675, 0.485499
 835,    0.675,   0.4859
 836,    0.675, 0.487865
 837,    0.675, 0.492188
 838,    0.675, 0.495073
 839,    0.675, 0.490615
 840,    0.675, 0.488247
 841,    0.675, 0.491115
 842,    0.675, 0.484543
 843,    0.675, 0.481954
 844,    0.675, 0.484281
 845,    0.675, 0.482657
 846,    0.675, 0.477683
 847,    0.675,   0.4856
 848,    0.675, 0.483997
 849,    0.675, 0.485227
 850,    0.675, 0.478603
 851,    0.675, 0.478025
 852,    0.675, 0.483263
 853,    0.675, 0.487289
 854,    0.675, 0.480781
 855,    0.675, 0.480787
 856,    0.675, 0.475701
 857,    0.675, 0.479527
 858,    0.675, 0.481961
 859,    0.675, 0.480273
 860,    0.675, 0.476025
 861,    0.675, 0.480631
 862,    0.675, 0.487476
 863,    0.675,  0.49222
 864,    0.675, 0.490472
 865,    0.675, 0.485218
 866,    0.675, 0.487238
 867,    0.675, 0.484909
 868,     0.68, 0.488995
 869,     0.68, 0.489357
 870,     0.68, 0.483382
 871,     0.68, 0.487047
 872,     0.68, 0.487648
 873,     0.68,  0.48218
 874,     0.68, 0.485559
 875,     0.68, 0.486697
 876,     0.68, 0.486883
 877,     0.68,  0.48528
 878,     0.68,  0.48228
 879,     0.68, 0.480946
 880,     0.68, 0.473609
 881,     0.68, 0.475254
 882,     0.68, 0.482692
 883,     0.68, 0.481128
 884,     0.68, 0.486365
 885,     0.68, 0.490874
 886,     0.68, 0.488754
 887,     0.68, 0.483986
 888,     0.68, 0.487686
 889,     0.68, 0.485913
 890,     0.68, 0.487002
 891,     0.68, 0.479029
 892,     0.68, 0.473692
 893,     0.68, 0.477143
 894,     0.68, 0.483879
 895,     0.68, 0.478853
 896,     0.68, 0.475785
 897,     0.68, 0.481401
 898,     0.68, 0.482061
 899,     0.68, 0.480967
 900,     0.68,  0.48717
 901,     0.68, 0.484059
 902,     0.68, 0.484516
 903,     0.68, 0.476731
 904,     0.68, 0.479488
 905,     0.68, 0.475372
 906,     0.68, 0.481333
 907,     0.68, 0.488076
 908,     0.68, 0.489967
 909,     0.68,  0.48817
 910,     0.68, 0.483244
 911,   0.6813, 0.484165
 912,   0.6813, 0.486368
 913,   0.6813, 0.490876
 914,   0.6813, 0.491255
 915,   0.6813, 0.485373
 916,   0.6899,  0.48312
 917,   0.6899, 0.484127
 918,   0.6899, 0.489953
 919,   0.6899, 0.496642
 920,   0.6899,  0.49602
 921,   0.6899,  0.48997
 922,   0.6899, 0.485848
 923,   0.6899, 0.496724
 924,   0.6899,  0.48829
 925,   0.6899, 0.495825
 926,   0.6899, 0.489393
 927,   0.6899, 0.494667
 928,   0.6899, 0.493292
 929,   0.6899, 0.492323
 930,   0.6899, 0.494085
