gen, roulette_scalar_uniform_best, roulette_scalar_uniform_ave
 526,   0.5865, 0.386893
 527,   0.5865, 0.392207
 528,   0.5865, 0.385384
 529,   0.5865, 0.384629
 530,   0.5865, 0.391949
 531,   0.5865, 0.391448
 532,   0.5865, 0.384179
 533,   0.5865, 0.392453
 534,   0.5865, 0.388301
 535,   0.5865, 0.385693
 536,   0.5865, 0.384194
 537,   0.5865, 0.386485
 538,   0.5865, 0.387523
 539,   0.5865, 0.386068
 540,   0.5865, 0.390507
 541,   0.5865, 0.386253
 542,   0.5865, 0.387306
 543,   0.5865, 0.385198
 544,   0.5865, 0.379849
 545,   0.5865, 0.387268
 546,   0.5865, 0.390696
 547,   0.5865, 0.392177
 548,   0.5865, 0.386037
 549,   0.5865,  0.38748
 550,   0.5865, 0.391181
 551,   0.5865, 0.395558
 552,   0.5865, 0.399068
 553,   0.5865, 0.392662
 554,   0.5865, 0.396039
 555,   0.5865, 0.390657
 556,   0.5865, 0.391776
 557,   0.5865, 0.396212
 558,   0.5865, 0.396391
 559,   0.5865, 0.403758
 560,   0.5865, 0.398928
 561,   0.5865, 0.398832
 562,   0.5865,  0.39507
 563,   0.5865, 0.397231
 564,   0.5865, 0.399317
 565,   0.5865, 0.396598
 566,   0.5865, 0.392839
 567,   0.5865, 0.395947
 568,   0.5865, 0.401443
 569,   0.5865, 0.395611
 570,   0.5865,  0.40176
 571,   0.5865, 0.402811
 572,   0.5865, 0.402734
 573,   0.5865, 0.401578
 574,   0.5865, 0.397725
 575,   0.5865, 0.405217
 576,   0.5865, 0.400956
 577,   0.5865, 0.400889
 578,   0.5865, 0.402637
 579,   0.5865, 0.397632
 580,   0.5865,  0.39485
 581,   0.5865, 0.395091
 582,   0.5865, 0.398425
 583,   0.5865, 0.394985
 584,   0.5865, 0.391363
 585,   0.5865,  0.38819
 586,   0.5865, 0.388855
 587,   0.5865, 0.392873
 588,   0.5865, 0.393766
 589,   0.5865, 0.392256
 590,   0.5865, 0.402901
 591,   0.5865, 0.407396
 592,   0.5865, 0.409329
 593,   0.5865, 0.404628
 594,   0.5865, 0.409072
 595,   0.5865, 0.401629
 596,   0.5865, 0.399987
 597,   0.5865, 0.402979
 598,   0.5865, 0.403689
 599,   0.5865,  0.39949
 600,   0.5865, 0.397901
 601,   0.5865, 0.399225
 602,   0.5865, 0.392298
 603,   0.5865, 0.395889
 604,   0.5865, 0.401523
 605,   0.5865,  0.40015
 606,   0.5865, 0.401855
 607,   0.5865,  0.40282
 608,   0.5865, 0.404179
 609,   0.5865, 0.406226
 610,   0.5865, 0.409408
 611,   0.5865, 0.406913
 612,   0.5865, 0.404038
 613,   0.5865, 0.401002
 614,   0.5865, 0.394358
 615,   0.5865, 0.398836
 616,   0.5865, 0.397518
 617,   0.5865, 0.393136
 618,   0.5865, 0.402288
 619,   0.5865, 0.403829
 620,   0.5865, 0.398856
 621,   0.5865, 0.397736
 622,   0.5865, 0.391044
 623,   0.5865, 0.391634
 624,   0.5865, 0.396244
 625,   0.5865, 0.393523
 626,   0.5865, 0.397646
 627,   0.6019, 0.397795
 628,   0.6019, 0.405082
 629,   0.6019,  0.40278
 630,   0.6019, 0.406323
 631,   0.6019, 0.403517
 632,   0.6019,  0.40801
 633,   0.6019, 0.408873
 634,   0.6019, 0.400427
 635,   0.6129, 0.394823
 636,   0.6129, 0.401732
 637,   0.6129, 0.408752
 638,   0.6129, 0.402002
 639,   0.6129, 0.403427
 640,   0.6129, 0.402181
 641,   0.6129, 0.403899
 642,   0.6026, 0.403333
 643,   0.6026, 0.408748
 644,   0.6026, 0.408347
 645,   0.6026, 0.412012
 646,   0.6026, 0.408108
 647,   0.6026, 0.411922
 648,   0.6026,  0.41298
 649,   0.6026, 0.413911
 650,   0.6026,  0.41218
 651,   0.6026, 0.409864
 652,   0.6026, 0.409618
 653,   0.6026, 0.406274
 654,   0.6026, 0.410528
 655,   0.6026, 0.410063
 656,   0.6026, 0.405726
 657,   0.6026, 0.410235
 658,   0.6026,  0.41466
 659,   0.6026, 0.415791
 660,   0.6026, 0.410181
 661,   0.6026, 0.410223
 662,   0.6026, 0.415867
 663,   0.6026, 0.410352
 664,   0.6026, 0.414325
 665,   0.6026, 0.413865
 666,   0.6026, 0.419126
 667,   0.6026, 0.417345
 668,   0.6026, 0.416898
 669,   0.6026, 0.415074
 670,   0.6026,  0.41414
 671,   0.6026, 0.409836
 672,   0.6026, 0.416193
 673,   0.6026, 0.417058
 674,   0.6026, 0.413455
 675,   0.6026, 0.413812
 676,   0.6026, 0.415219
 677,   0.6026, 0.411849
 678,   0.6026, 0.416803
 679,   0.6026, 0.417955
 680,   0.6026, 0.418195
 681,   0.6026, 0.415422
 682,   0.6026, 0.412412
 683,   0.6026, 0.414525
 684,   0.6026, 0.416645
 685,   0.6026, 0.418777
 686,   0.6026, 0.413615
 687,   0.6026, 0.412344
 688,   0.6026, 0.414198
 689,   0.6026, 0.411902
 690,   0.6026, 0.417427
 691,   0.6026, 0.415684
 692,   0.6026, 0.417095
 693,   0.6026, 0.413503
 694,   0.6026, 0.422686
 695,   0.6026, 0.419366
 696,   0.6026, 0.421623
 697,   0.6026, 0.417975
 698,   0.6026, 0.408914
 699,   0.6026, 0.409311
 700,   0.6026, 0.409836
 701,   0.6026, 0.413162
 702,   0.6026, 0.413236
 703,   0.6026,    0.414
 704,   0.6026, 0.407532
 705,   0.6026, 0.406928
 706,   0.6026, 0.411748
 707,   0.6026, 0.403479
 708,   0.6026, 0.401848
 709,   0.6026, 0.403876
 710,   0.6026, 0.402474
 711,   0.6026, 0.403932
 712,   0.6026, 0.409553
 713,   0.6026, 0.409529
 714,   0.6026, 0.410875
 715,   0.6026, 0.413836
 716,   0.6026,  0.40753
 717,   0.6026, 0.410358
 718,   0.6026, 0.409784
 719,   0.6026, 0.404628
 720,   0.6026, 0.404008
 721,   0.6026, 0.410815
 722,   0.6026, 0.409299
 723,   0.6026, 0.410647
