gen, tournament_binary_twopoint_best, tournament_binary_twopoint_ave
 774,   0.7837, 0.716639
 775,   0.7837, 0.721215
 776,   0.7842, 0.718116
 777,   0.7842, 0.716134
 778,   0.7842, 0.719654
 779,   0.7842, 0.719124
 780,   0.7842, 0.718707
 781,   0.7842, 0.717368
 782,   0.7842, 0.713928
 783,   0.7842, 0.719269
 784,   0.7842, 0.720922
 785,   0.7842, 0.715253
 786,   0.7842, 0.716302
 787,   0.7842, 0.718309
 788,   0.7842, 0.714333
 789,   0.7842, 0.714073
 790,   0.7842, 0.718302
 791,   0.7842, 0.716856
 792,   0.7842,  0.72304
 793,   0.7842, 0.719323
 794,   0.7842, 0.720314
 795,   0.7842,  0.71989
 796,   0.7842, 0.720563
 797,   0.7842, 0.724382
 798,   0.7842, 0.719036
 799,   0.7842, 0.721243
 800,   0.7842, 0.719897
 801,   0.7842,  0.71726
 802,   0.7842, 0.721382
 803,   0.7842, 0.721587
 804,   0.7842, 0.716402
 805,   0.7842, 0.717617
 806,   0.7842, 0.718949
 807,   0.7842, 0.719481
 808,   0.7842, 0.721438
 809,   0.7842, 0.719159
 810,   0.7842, 0.718179
 811,   0.7842, 0.719476
 812,   0.7842, 0.721295
 813,   0.7842,  0.72064
 814,   0.7842,  0.72008
 815,   0.7842, 0.718589
 816,   0.7842, 0.720283
 817,   0.7842, 0.717566
 818,   0.7842, 0.721382
 819,   0.7842, 0.717945
 820,   0.7842, 0.721241
 821,   0.7842, 0.719959
 822,   0.7842, 0.714766
 823,    0.785, 0.715448
 824,    0.785, 0.716277
 825,    0.785, 0.720033
 826,    0.785, 0.717455
 827,   0.7854, 0.717637
 828,   0.7854, 0.717824
 829,   0.7856, 0.720513
 830,   0.7856, 0.718341
 831,   0.7856,  0.72148
 832,   0.7856, 0.724651
 833,   0.7856, 0.720646
 834,   0.7856, 0.724123
 835,   0.7856, 0.719945
 836,   0.7856, 0.722066
 837,   0.7856, 0.721125
 838,   0.7856, 0.716464
 839,   0.7856, 0.718141
 840,   0.7856,  0.71875
 841,   0.7856, 0.722214
 842,   0.7856, 0.721585
 843,   0.7859, 0.720241
 844,   0.7859, 0.722514
 845,   0.7859, 0.718177
 846,   0.7859, 0.716605
 847,   0.7859, 0.721662
 848,   0.7859, 0.718968
 849,   0.7859, 0.719834
 850,   0.7861, 0.719826
 851,   0.7861, 0.720358
 852,   0.7861, 0.720364
 853,   0.7861, 0.723067
 854,   0.7861,  0.72246
 855,   0.7861, 0.716393
 856,   0.7861, 0.717977
 857,   0.7861, 0.719782
 858,   0.7861, 0.719519
 859,   0.7861, 0.719618
 860,   0.7861, 0.719877
 861,   0.7862, 0.722965
 862,   0.7862, 0.717839
 863,   0.7862, 0.727179
 864,   0.7862, 0.720899
 865,   0.7862, 0.715007
 866,   0.7862, 0.722489
 867,   0.7862, 0.719751
 868,   0.7862, 0.720936
 869,   0.7862, 0.722757
 870,   0.7862, 0.723447
 871,   0.7862, 0.721882
 872,   0.7862, 0.721793
 873,   0.7862,  0.71906
 874,   0.7862, 0.717381
 875,   0.7862, 0.716706
 876,   0.7862, 0.723435
 877,   0.7876, 0.721652
 878,   0.7876, 0.717654
 879,   0.7876,   0.7198
 880,   0.7876,  0.72209
 881,   0.7876, 0.723271
 882,   0.7876, 0.724327
 883,   0.7876, 0.722663
 884,   0.7876, 0.719407
 885,   0.7876, 0.719165
 886,   0.7876, 0.721142
 887,   0.7876, 0.721101
 888,   0.7876, 0.722262
 889,   0.7878, 0.722984
 890,   0.7878, 0.719262
 891,   0.7878, 0.719543
 892,   0.7878, 0.723529
 893,   0.7878, 0.722635
 894,   0.7878, 0.724396
 895,   0.7878, 0.720832
 896,   0.7878, 0.722979
 897,   0.7878, 0.724472
 898,   0.7878, 0.721429
 899,   0.7878, 0.724432
 900,   0.7879, 0.720379
 901,   0.7879, 0.719658
 902,   0.7879, 0.718808
 903,   0.7879, 0.720719
 904,   0.7879, 0.719245
 905,   0.7879, 0.721855
 906,   0.7879, 0.723544
 907,   0.7879, 0.725634
 908,   0.7879, 0.723988
 909,    0.788, 0.723087
 910,    0.788, 0.720233
 911,    0.788, 0.721325
 912,    0.788, 0.722046
 913,    0.788, 0.724329
 914,    0.788, 0.722231
 915,    0.788, 0.723297
 916,    0.788,  0.72331
 917,    0.788, 0.719947
 918,    0.788,  0.72074
 919,    0.788, 0.720827
 920,   0.7884, 0.721903
