gen, tournament_scalar_onepoint_best, tournament_scalar_onepoint_ave
 754,   0.6567, 0.610219
 755,   0.6567, 0.611216
 756,   0.6568, 0.613958
 757,   0.6568, 0.608005
 758,   0.6568, 0.607648
 759,   0.6568, 0.610232
 760,   0.6568,  0.60704
 761,   0.6568, 0.606375
 762,   0.6568, 0.608919
 763,   0.6568, 0.608376
 764,   0.6568, 0.611289
 765,   0.6568, 0.607604
 766,   0.6568, 0.611198
 767,   0.6568, 0.605604
 768,   0.6557, 0.607692
 769,   0.6557, 0.616324
 770,   0.6557, 0.607955
 771,   0.6557, 0.615381
 772,   0.6557, 0.607404
 773,   0.6557, 0.607147
 774,   0.6557, 0.606274
 775,   0.6557, 0.606774
 776,   0.6557, 0.604833
 777,   0.6557, 0.612081
 778,   0.6557, 0.612092
 779,   0.6557, 0.609935
 780,   0.6557, 0.610555
 781,   0.6557,  0.61024
 782,   0.6564, 0.608331
 783,   0.6564, 0.616837
 784,   0.6557, 0.611806
 785,   0.6557, 0.611176
 786,   0.6557, 0.606996
 787,   0.6557, 0.618566
 788,   0.6557, 0.607966
 789,    0.657, 0.608112
 790,    0.657, 0.610072
 791,    0.657, 0.610529
 792,    0.657, 0.606513
 793,    0.657, 0.609695
 794,    0.657,  0.61035
 795,    0.657,  0.61481
 796,    0.657, 0.609315
 797,    0.657, 0.608918
 798,    0.657, 0.616434
 799,    0.657, 0.616075
 800,    0.657, 0.613405
 801,    0.657, 0.612427
 802,    0.657, 0.604206
 803,    0.657,  0.61051
 804,    0.657, 0.607603
 805,    0.657, 0.612482
 806,    0.657, 0.614573
 807,    0.657, 0.611915
 808,    0.657,  0.60913
 809,    0.657, 0.605994
 810,    0.657, 0.612336
 811,    0.657, 0.614119
 812,    0.657,  0.60867
 813,    0.657, 0.607027
 814,    0.657, 0.611863
 815,    0.657, 0.610566
 816,    0.657, 0.617729
 817,    0.657, 0.607324
 818,    0.657, 0.610097
 819,    0.657,  0.60811
 820,    0.657, 0.613701
 821,    0.657, 0.613069
 822,    0.657, 0.615649
 823,    0.657, 0.614435
 824,    0.657, 0.612498
 825,    0.657, 0.608715
 826,    0.657, 0.612991
 827,    0.657, 0.612548
 828,    0.657, 0.613244
 829,    0.657, 0.611718
 830,    0.657, 0.607952
 831,   0.6561, 0.615501
 832,   0.6561, 0.611255
 833,   0.6561, 0.607717
 834,   0.6557, 0.611102
 835,   0.6557, 0.613861
 836,   0.6557, 0.611075
 837,   0.6557, 0.608556
 838,   0.6557, 0.614716
 839,   0.6557, 0.612735
 840,   0.6557, 0.611393
 841,   0.6557, 0.612884
 842,   0.6557, 0.612811
 843,   0.6557, 0.606046
 844,   0.6557,  0.61105
 845,   0.6557, 0.617941
 846,   0.6554, 0.612698
 847,   0.6554, 0.612131
 848,   0.6554, 0.611022
 849,   0.6554, 0.609885
 850,   0.6554, 0.614963
 851,   0.6557, 0.609255
 852,   0.6557, 0.608785
 853,   0.6557, 0.611853
 854,   0.6557, 0.610553
 855,   0.6557, 0.611712
 856,   0.6557,  0.60929
 857,   0.6557, 0.604495
 858,   0.6557, 0.610168
 859,   0.6557, 0.614783
 860,   0.6557, 0.608881
 861,   0.6557, 0.619837
 862,   0.6557, 0.611687
 863,   0.6557, 0.615303
 864,   0.6557, 0.615304
 865,   0.6557, 0.611784
 866,   0.6557, 0.604139
 867,   0.6557, 0.613836
 868,   0.6557, 0.614817
 869,   0.6557, 0.609279
 870,   0.6557, 0.606541
 871,   0.6557, 0.613331
 872,   0.6557, 0.613728
 873,   0.6557, 0.609758
 874,   0.6557, 0.607606
 875,   0.6557, 0.612688
 876,   0.6557, 0.615196
 877,   0.6557,  0.61105
 878,   0.6557,   0.6152
 879,   0.6557, 0.604191
 880,   0.6557,  0.61644
 881,   0.6557, 0.615538
 882,   0.6557, 0.608422
 883,   0.6557, 0.609951
 884,   0.6557, 0.615262
 885,   0.6557, 0.612855
 886,   0.6557, 0.611544
 887,   0.6557, 0.607328
 888,   0.6557, 0.613359
 889,   0.6557, 0.611461
 890,   0.6557, 0.612554
 891,   0.6557, 0.611739
 892,   0.6557, 0.612051
 893,   0.6557, 0.615147
 894,   0.6557, 0.611414
 895,   0.6557, 0.610244
 896,   0.6557, 0.613227
 897,   0.6557, 0.609464
 898,   0.6557, 0.611226
 899,   0.6557, 0.610968
 900,   0.6557, 0.607902
