gen, tournament_ternary_twopoint_best, tournament_ternary_twopoint_ave
 899,     0.83, 0.746837
 900,     0.83, 0.741098
 901,     0.83, 0.737348
 902,     0.83, 0.742324
 903,     0.83, 0.738645
 904,     0.83, 0.736803
 905,     0.83, 0.741314
 906,     0.83, 0.731781
 907,     0.83, 0.741317
 908,     0.83, 0.739802
 909,     0.83, 0.744959
 910,     0.83, 0.743301
 911,     0.83, 0.742033
 912,     0.83, 0.737811
 913,     0.83, 0.740609
 914,     0.83, 0.746564
 915,     0.83, 0.745584
 916,     0.83, 0.744827
 917,     0.83, 0.743067
 918,     0.83,  0.74452
 919,     0.83, 0.740242
 920,     0.83, 0.741997
 921,     0.83, 0.736894
 922,     0.83, 0.744741
 923,     0.83, 0.749138
 924,     0.83, 0.741765
 925,     0.83, 0.743464
 926,     0.83,  0.74444
 927,     0.83, 0.746432
 928,     0.83, 0.739107
 929,     0.83, 0.741048
 930,     0.83, 0.738123
 931,     0.83, 0.741837
 932,     0.83, 0.745347
 933,     0.83, 0.745031
