gen, tournament_binary_uniform_best, tournament_binary_uniform_ave
 782,   0.7753, 0.724014
 783,   0.7753,   0.7188
 784,   0.7753, 0.723577
 785,   0.7753, 0.723014
 786,   0.7753, 0.724621
 787,   0.7753, 0.726189
 788,   0.7753, 0.724702
 789,   0.7755, 0.725166
 790,   0.7755, 0.725491
 791,   0.7755, 0.726879
 792,   0.7755, 0.725933
 793,   0.7755, 0.726313
 794,   0.7755, 0.724942
 795,   0.7755, 0.724404
 796,   0.7755, 0.722178
 797,   0.7755, 0.723848
 798,   0.7755, 0.722635
 799,   0.7755, 0.720055
 800,   0.7757, 0.724546
 801,   0.7757,  0.72317
 802,   0.7757, 0.724616
 803,   0.7757, 0.722854
 804,   0.7757, 0.721667
 805,   0.7757, 0.722574
 806,   0.7763, 0.723692
 807,   0.7763, 0.724257
 808,   0.7763, 0.725588
 809,   0.7763, 0.728648
 810,   0.7766, 0.724696
 811,   0.7766, 0.729052
 812,   0.7767, 0.726855
 813,   0.7767, 0.727543
 814,   0.7767, 0.723678
 815,   0.7767, 0.722192
 816,   0.7767, 0.723839
 817,   0.7767, 0.722543
 818,   0.7767, 0.723622
 819,   0.7767, 0.722738
 820,   0.7769, 0.723655
 821,   0.7769, 0.726268
 822,   0.7769, 0.724848
 823,   0.7769, 0.722393
 824,   0.7769, 0.723225
 825,   0.7769, 0.722829
 826,   0.7769, 0.724124
 827,   0.7769, 0.724118
 828,   0.7769, 0.724689
 829,   0.7769, 0.724715
 830,   0.7769, 0.723518
 831,   0.7769, 0.726532
 832,   0.7769,  0.72528
 833,   0.7769, 0.726725
 834,   0.7769, 0.723629
 835,   0.7769, 0.727483
 836,   0.7769, 0.726766
 837,   0.7769, 0.725598
 838,   0.7769, 0.725952
 839,   0.7769, 0.726843
 840,   0.7769, 0.724235
 841,   0.7769, 0.719699
 842,   0.7769, 0.722809
 843,   0.7769, 0.725265
 844,   0.7769, 0.724454
 845,   0.7769, 0.726446
 846,   0.7769, 0.722839
 847,   0.7769, 0.723127
 848,   0.7769, 0.724196
 849,   0.7769, 0.724464
 850,   0.7769,  0.72225
 851,   0.7769, 0.723252
 852,   0.7769, 0.718888
 853,   0.7769, 0.719348
 854,   0.7769, 0.722417
 855,   0.7769, 0.725954
 856,   0.7769,  0.72539
 857,   0.7769, 0.726189
 858,   0.7769, 0.723034
 859,   0.7769, 0.722889
 860,   0.7769, 0.724114
 861,   0.7769, 0.724429
 862,   0.7769,  0.72241
 863,   0.7769, 0.723226
 864,   0.7769, 0.724046
 865,   0.7769,  0.72059
 866,   0.7769,  0.72662
 867,   0.7769, 0.723729
 868,   0.7769, 0.723685
 869,   0.7769, 0.725099
 870,   0.7769, 0.728987
 871,   0.7769, 0.727603
 872,   0.7769, 0.728117
 873,   0.7769, 0.722407
 874,   0.7769, 0.726386
 875,   0.7769, 0.724988
 876,   0.7769, 0.721385
 877,   0.7769, 0.721425
 878,   0.7769, 0.724571
 879,   0.7769, 0.723559
 880,   0.7769, 0.727392
 881,   0.7769, 0.723869
 882,   0.7769, 0.728388
 883,   0.7769, 0.725593
 884,    0.777, 0.727163
 885,    0.777, 0.724973
 886,    0.777, 0.722492
 887,    0.777, 0.725195
 888,    0.777, 0.727628
 889,    0.777, 0.726237
 890,   0.7771, 0.727399
 891,   0.7771, 0.721533
 892,   0.7771, 0.726792
 893,   0.7771, 0.726651
 894,   0.7771, 0.727593
 895,   0.7771, 0.726131
 896,   0.7771, 0.727015
 897,   0.7772, 0.726351
 898,   0.7772, 0.725434
 899,   0.7772,  0.72208
 900,   0.7772, 0.723493
 901,   0.7772, 0.725425
 902,   0.7772, 0.722201
 903,   0.7772, 0.723818
 904,   0.7772,  0.72165
 905,   0.7772,  0.72437
 906,   0.7772, 0.724631
 907,   0.7772, 0.726321
 908,   0.7772, 0.728105
 909,   0.7772, 0.726484
 910,   0.7772, 0.725006
 911,   0.7772, 0.725159
 912,   0.7772, 0.724285
 913,   0.7772,  0.72423
 914,   0.7772, 0.728503
 915,   0.7772, 0.723942
 916,   0.7772, 0.726458
 917,   0.7772, 0.724988
 918,   0.7772, 0.724815
 919,   0.7772, 0.722568
 920,   0.7772, 0.726763
 921,   0.7772, 0.724248
 922,   0.7772, 0.725385
 923,   0.7772, 0.726472
 924,   0.7772, 0.719642
 925,   0.7772, 0.724494
 926,   0.7772, 0.724542
 927,   0.7772, 0.724441
